plt_name,prefix,rev
FGT_1K,FGT-1K,1
FGT_30B,FGT30B,1
FGT_50B,FGT50B,CP5
FGT_50B,FGT50B,CP6
FGT_51B,FG50BH,CP6
FGT_60B,FGT60B,CP5
FGT_100A,FG100A,1
FGT_100A,FG100A,2
FGT_110C,FG100C,1
FGT_111C,FG10CH,1
FGT_200A,FG200A,1
FGT_224B,FG224B,1
FGT_300A,FG300A,1
FGT_310B,FG310B,1
FGT_400A,FG400A,CP5
FGT_500A,FG500A,CP5
FGT_620B,FG620B,CP6
FGT_800,FGT800,CP4
FGT_800,FGT800,CP5
FGT_1000A,FGT1KA,1
FGT_3000,FGT-3K,1
FGT_3016B,FGT3KB,1
FGT_3600,FG3600,1
FGT_3600A,FG3K6A,1
FGT_3810A,FG3K8A,1
FGT_5001,FG5000,CP4
FGT_5001A,FG5A01,CP6
FGT_5001FA2,FG502A,CP4
FGT_5005FA2,FG5A25,CP6
FGT_5005FA2,FG5A25,CP5
FK_5001A,FK5A01,cp6
FWF_50B,FWF50B,CP5
FWF_60B,FWF60B,CP5
FGT_1000AFA2,FGT1KX,1
FGT_80C,FGT80C,Gen1
FGT_80C,FGT80C,Gen2
FGT_80CM,FG80CM,CP6
FGT_80CM,FG80CM,Gen2
FWF_80CM,FW80CM,CP6
FWF_80CM,FW80CM,gen2
FGT_800F,FGT800,CP5
FOC_5001,FG5000,CP6
FGT_310B_DC,FG300D,1
FGT_311B,FG311B,1
FWF_30B,FWF30B,cp5
FGT_82C,FGT82C,CP6
FGT_1000A-LENC,FGT1KL,1
FGV_80C,FGV80C,Rev2, CP6
FortiGateOne,\N,N/A
FGT_200B,FG200B,1
FWF_81CM,FW81CM,CP6
FGT_1240B,FGT1KB,1
FGT_1240B,FGT1KB,2
FGT_200B_POE,FG200P,1
FWV_80CS,\N,CP6
FGT_1240B_LENC,,1
FGT_310B_LENC,,1
FGT_60C,FGT60C,CP7
FGT_60C,FGT60C,Gen4
FGT_60C,FGT60C,Gen3
FGT_3951B,FG3K91,Gen1
FGT_3951B,FG3K91,gen2
FGT_3951B,FG3K91,Gen1.5
FGT_3810A_DC,\N,1
FGT_3040B,FG3K0B,1
FGT_3040B,FG3K0B,2
FGT_3040B,FG3K0B,3
FWF_60C,FWF60C,CP7
FGT_3950B,FG3K9B,1
FGT_3950B,FG3K9B,1.5
FGT_3950B,FG3K9B,2
